"tx size","size fee (IOV)","price increase compared to anti spam"
338176,227.3429,455.6859
338432,227.6883,456.3766
338688,228.0340,457.0679
338944,228.3799,457.7597
339200,228.7260,458.4520
339456,229.0724,459.1449
339712,229.4191,459.8382
339968,229.7661,460.5321
340224,230.1133,461.2266
340480,230.4608,461.9215
340736,230.8085,462.6170
340992,231.1565,463.3130
341248,231.5047,464.0095
341504,231.8533,464.7065
341760,232.2020,465.4041
342016,232.5511,466.1022
342272,232.9004,466.8008
342528,233.2500,467.4999
342784,233.5998,468.1996
343040,233.9499,468.8998
343296,234.3002,469.6005
343552,234.6509,470.3017
343808,235.0017,471.0035
344064,235.3529,471.7058
344320,235.7043,472.4086
344576,236.0560,473.1119
344832,236.4079,473.8158
345088,236.7601,474.5201
345344,237.1125,475.2250
345600,237.4652,475.9305
345856,237.8182,476.6364
346112,238.1715,477.3429
346368,238.5250,478.0499
346624,238.8787,478.7574
346880,239.2327,479.4655
347136,239.5870,480.1741
347392,239.9416,480.8832
347648,240.2964,481.5928
347904,240.6515,482.3029
348160,241.0068,483.0136
348416,241.3624,483.7248
348672,241.7183,484.4365
348928,242.0744,485.1488
349184,242.4308,485.8615
349440,242.7874,486.5748
349696,243.1443,487.2887
349952,243.5015,488.0030
350208,243.8589,488.7179
350464,244.2166,489.4333
350720,244.5746,490.1492
350976,244.9328,490.8656
351232,245.2913,491.5826
351488,245.6500,492.3001
351744,246.0090,493.0181
352000,246.3683,493.7366
352256,246.7278,494.4557
352512,247.0876,495.1753
352768,247.4477,495.8954
353024,247.8080,496.6160
353280,248.1686,497.3372
353536,248.5294,498.0588
353792,248.8905,498.7810
354048,249.2519,499.5038
354304,249.6135,500.2270
354560,249.9754,500.9508
354816,250.3376,501.6751
355072,250.7000,502.3999
355328,251.0626,503.1253
355584,251.4256,503.8512
355840,251.7888,504.5776
356096,252.1523,505.3045
356352,252.5160,506.0320
356608,252.8800,506.7599
356864,253.2442,507.4884
357120,253.6087,508.2174
357376,253.9735,508.9470
357632,254.3385,509.6771
357888,254.7038,510.4077
358144,255.0694,511.1388
358400,255.4352,511.8704
358656,255.8013,512.6026
358912,256.1676,513.3353
359168,256.5342,514.0685
359424,256.9011,514.8022
359680,257.2683,515.5365
359936,257.6356,516.2713
360192,258.0033,517.0066
360448,258.3712,517.7424
360704,258.7394,518.4788
360960,259.1078,519.2157
361216,259.4766,519.9531
361472,259.8455,520.6910
361728,260.2148,521.4295
361984,260.5842,522.1685
362240,260.9540,522.9080
362496,261.3240,523.6480
362752,261.6943,524.3886
363008,262.0648,525.1297
363264,262.4356,525.8713
363520,262.8067,526.6134
363776,263.1780,527.3561
364032,263.5496,528.0992
364288,263.9215,528.8429
364544,264.2936,529.5872
364800,264.6660,530.3319
365056,265.0386,531.0772
365312,265.4115,531.8230
365568,265.7847,532.5693
365824,266.1581,533.3162
366080,266.5318,534.0635
366336,266.9057,534.8114
366592,267.2799,535.5599
366848,267.6544,536.3088
367104,268.0291,537.0583
367360,268.4041,537.8083
367616,268.7794,538.5588
367872,269.1549,539.3098
368128,269.5307,540.0614
368384,269.9067,540.8135
368640,270.2830,541.5661
368896,270.6596,542.3192
369152,271.0364,543.0729
369408,271.4135,543.8271
369664,271.7909,544.5818
369920,272.1685,545.3370
370176,272.5464,546.0928
